sample_rate,n_fft,window,n_lfcc,n_mfcc,n_mels,hop_length,final_score,statistical_score,visual_score,consistency_score,processing_time
8000,2048,hann,80,20,256,1536,0.7031052529759906,3.518583220297515,0.13006074195626327,0.5618350037465278,7.286129474639893
8000,2048,blackman,100,26,256,1024,0.6836244701657149,3.3626067170649474,0.1310167992928865,0.5834780206730155,7.1296961307525635
8000,512,hann,40,39,256,384,0.6096224317430268,2.870915027187366,0.12752967749085997,0.5980960228087999,7.700924396514893
8000,2048,blackman,60,13,80,1536,0.6016611289592275,2.8090773477778592,0.14319745607065137,0.5337420502872846,6.378387689590454
8000,2048,hann,60,13,80,1536,0.5449402016878048,2.4081973147373925,0.1470848742858129,0.5383412831808457,6.292910575866699
8000,1024,blackman,40,20,256,768,0.452888300957729,1.8976350752024795,0.12042265222274304,0.5596478874762465,7.014736652374268
8000,512,hann,60,39,80,256,0.40205119899437614,1.417120226763347,0.13554333078537745,0.6306855562007325,6.375979661941528
44100,256,hamming,20,26,40,64,0.3744134408295286,0.15501181827863125,0.3549986905004616,0.6844172315827388,9.378538370132446
48000,2048,blackman,100,39,256,1536,0.37320399700421714,1.4703720572357852,0.086030396057433,0.6161794078576419,6.732694864273071
8000,2048,hann,20,20,64,1024,0.35694946651033616,1.1301239344441056,0.15543859386249761,0.5241590709331467,6.552316188812256
44100,512,blackman,80,26,80,128,0.35465050497820494,0.3254369765063063,0.29782853042877566,0.6490332480141071,8.85034728050232
16000,128,hamming,60,39,40,32,0.3463469433335888,0.24880651903951412,0.2928000642848702,0.6937728031883501,8.951040267944336
44100,128,hann,20,13,40,32,0.341258328635507,0.14957885964791923,0.33275868982371726,0.5726027787447804,10.547034978866577
8000,256,hann,100,20,64,128,0.3408150101607652,0.8815231548912761,0.1616021029462092,0.6364337657648492,6.047753810882568
16000,128,hann,20,13,40,32,0.33443569145020047,0.20169222001880252,0.2866923199354734,0.689981563283658,8.511831521987915
48000,128,hann,20,13,40,32,0.3302011118302222,0.10506952810387046,0.32663455662670987,0.5719766198396318,10.71769380569458
8000,128,hamming,20,26,80,32,0.3251572085588064,0.4768902334357056,0.21742677603163724,0.6761662021420303,8.560287714004517
16000,512,hamming,60,39,128,128,0.31339855154051527,0.7392460846289808,0.149971599449107,0.6502101282119552,7.271374225616455
44100,256,blackman,20,39,64,64,0.3131470462789515,0.2390117699706593,0.2511038765350409,0.6768171147254934,9.304580211639404
16000,512,hamming,100,39,64,256,0.310350558292936,0.8141873855396868,0.1238727098130961,0.6767436906187716,6.276106357574463
8000,512,hamming,60,13,80,256,0.3099009711777064,0.8224640300775793,0.13498422537457366,0.6136160593591194,6.245745658874512
8000,128,hann,20,13,40,32,0.29677478444486105,0.3351099324033793,0.20969852862415228,0.6647954969829838,9.902342319488525
8000,128,hann,100,20,40,96,0.29218533086433723,0.5648726063031788,0.15796014827280153,0.6458822408526622,7.435961961746216
8000,256,blackman,60,13,40,128,0.28841711556441013,0.581410077788909,0.15502897794752782,0.6179021288853622,6.229815483093262
48000,512,hann,40,39,40,128,0.2807561089416221,0.24982168449597766,0.2037732988218977,0.6709436472793139,8.562389850616455
44100,1024,hann,80,39,128,256,0.2770265266705307,0.5204355387516308,0.13966688700083915,0.6746291663813244,7.802663564682007
16000,128,blackman,60,20,40,64,0.2727674582802236,0.34224059787497546,0.17303666143066485,0.6687047039834126,8.459805488586426
48000,128,hamming,40,13,40,64,0.27204439827409316,0.12767471525975344,0.23002898563178412,0.6124860069525416,8.858200073242188
48000,1024,hamming,100,39,128,512,0.2718342294832111,0.6075720026695306,0.11884403695241874,0.6500506881072563,6.846893072128296
16000,1024,blackman,60,20,128,512,0.2695895742059282,0.698665781640698,0.10625665860534937,0.6027336395738597,6.282042741775513
44100,512,hamming,100,13,40,256,0.263551559535444,0.25550347119425143,0.17144111628499448,0.7014483830454012,7.277065277099609
48000,2048,hann,100,20,64,512,0.26095439346086063,0.5863074955882189,0.1088611055629978,0.6453699681901957,7.496876239776611
48000,512,hann,80,26,128,128,0.2564607297078166,0.33567338051029805,0.144575398398077,0.6993796250174532,8.396106243133545
48000,1024,hann,60,20,64,256,0.2533547052528394,0.4055810085346725,0.13526657223126715,0.6522063560716767,7.834529161453247
48000,1024,hamming,20,39,256,768,0.24904867986536755,0.6430781891956543,0.08901933232220972,0.6018227924031506,6.926363706588745
44100,2048,hamming,20,39,128,512,0.24782702215549113,0.5116756573128687,0.11434611999929674,0.6068892637270208,7.138942718505859
44100,1024,hann,60,13,256,256,0.24383786827786647,0.39511221230546945,0.12184751631446053,0.6618518334128247,7.949593782424927
8000,128,hann,60,13,256,64,0.236862908343909,0.49296863762844095,0.09418332866664901,0.646595217553257,7.277113437652588
16000,512,hann,40,20,256,384,0.2339057926100569,0.5139529499150245,0.0895746627718271,0.6274039078834952,6.994820833206177
44100,1024,hamming,20,39,80,768,0.22689801841647542,0.3677242748539072,0.11149843472676921,0.6246031525310061,6.269053936004639
44100,1024,hamming,40,20,64,512,0.2266118923353988,0.3897745478700296,0.11160038765233005,0.6001695919884223,7.295628309249878
44100,256,hamming,80,26,80,128,0.22492676994678434,0.2134094147970658,0.12519537155281213,0.7018573176017066,8.12609577178955
44100,512,blackman,40,26,128,256,0.22450197136116995,0.2296853924204014,0.12063678362590613,0.7040227597331697,7.513703346252441
48000,128,blackman,40,26,40,96,0.22149180078159925,0.17570294936001774,0.15705170478188887,0.5680011002018291,8.181414127349854
44100,1024,blackman,40,13,80,768,0.22124127046392278,0.4006816948281154,0.09804914404141295,0.6166974360714428,6.369671583175659
48000,256,blackman,80,39,128,64,0.21875113446490907,0.2433639127029013,0.11979607418679744,0.6559286375247712,9.846765518188477
44100,2048,hamming,60,20,128,1024,0.2168728505810586,0.42242836715132925,0.09449639391477999,0.5824074651200881,7.03162407875061
44100,256,hann,40,13,80,128,0.21641258072604136,0.19153675840944379,0.12076752736890918,0.6876319853759225,8.618750810623169
44100,128,hamming,100,39,64,96,0.20438439205920766,0.29937789768128237,0.10632177885980834,0.5670164147009966,8.491857290267944
48000,128,blackman,80,20,80,96,0.1553431817304858,0.1965772813944538,0.05716329918090505,0.5722818672978948,8.983765125274658
